id,name,address,latitude,longitude,city,post_code,country,continent,iso_code
1,GreenWay Charging Station,"Żelazna 51, 00-841 Warszawa",52.232227,20.9186042,województwo mazowieckie,00-841,Polska,EU,PL
2,EV Plus Charging Station,"Stanisława Moniuszki 1a, 00-014 Warszawa",52.232227,20.9186042,województwo mazowieckie,00-014,Polska,EU,PL
3,EV Plus Charging Station,"Emilii Plater 53, 00-113 Warszawa",52.232227,20.9186042,województwo mazowieckie,00-113,Polska,EU,PL
4,Tesla Supercharger,"Belwederska 23, 00-761 Warszawa",52.2078553,20.9574651,województwo mazowieckie,00-761,Polska,EU,PL
5,Porsche Destination Charging,"plac Marszałka Józefa Piłsudskiego 1, 00-078 Warszawa",52.2421,20.9406722,województwo mazowieckie,00-078,Polska,EU,PL
6,EV Plus Charging Station,"Chmielna 73, 00-801 Warszawa",52.2421,20.9406722,województwo mazowieckie,00-801,Polska,EU,PL
7,EV Plus Charging Station,"al. Jana Pawła II 29, 00-867 Warszawa",52.2421,20.9406722,województwo mazowieckie,00-867,Polska,EU,PL
8,EV Plus Charging Station,"Prosta 70, 00-838 Warszawa",52.2298929,20.907696,województwo mazowieckie,00-838,Polska,EU,PL
9,GreenWay Stacja ładowania,"Leszczyńska, 00-312 Warszawa",52.2408349,20.9541926,województwo mazowieckie,00-339,Polska,EU,PL
10,Tesla Destination Charger,"al. Jana Pawła II 21, 00-854 Warszawa",52.2408349,20.9541926,województwo mazowieckie,00-854,Polska,EU,PL
11,GreenWay Charging Station,"Dobra 42, 00-351 Warszawa",52.2408349,20.9541926,województwo mazowieckie,00-312,Polska,EU,PL
12,EV Plus Charging Station,"Burakowska 14, 01-066 Warszawa",52.2559129,20.906576,województwo mazowieckie,01-066,Polska,EU,PL
13,Greenway Stacja ładowania,"al. Jerozolimskie 148, 02-326 Warszawa",52.2129707,20.8790566,województwo mazowieckie,02-326,Polska,EU,PL
14,innogy Polska Charging Station,"Złota 44, 00-120 Warszawa",52.2311669,20.9303781,województwo mazowieckie,00-120,Polska,EU,PL
15,Nexity Hotels Charging Station,"Grzybowska 58, 00-844 Warszawa",52.2311669,20.9303781,województwo mazowieckie,00-844,Polska,EU,PL
16,PowerDot Poland Charging Station,"Ostrobramska 101, 04-041 Warszawa",52.2351462,21.0136039,województwo mazowieckie,04-041,Polska,EU,PL
17,Stacja ładowania Złote Tarasy – ShareP,"Złota, 00-804 Warszawa",52.22997,20.9303382,województwo mazowieckie,00-806,Polska,EU,PL
18,VIRTA Charging Station,"Złota 44, 00-120 Warszawa",52.22997,20.9303382,województwo mazowieckie,00-120,Polska,EU,PL
19,EV Plus Charging Station,"Ignacego Prądzyńskiego 12/14, 01-222 Warszawa",52.2245626,20.8906931,województwo mazowieckie,01-222,Polska,EU,PL
20,EV Plus Charging Station,"al. Jerozolimskie 98, 00-807 Warszawa",52.2245626,20.8906931,województwo mazowieckie,00-807,Polska,EU,PL
21,E.ON Charging Station,"plac Europejski, 00-844 Warszawa",52.2245626,20.8906931,województwo mazowieckie,00-846,Polska,EU,PL
22,Stacja ładowania samochodów elektrycznych,"Zagórna 1a, 00-441 Warszawa",52.2261085,20.9699294,województwo mazowieckie,00-441,Polska,EU,PL
23,EV Plus Charging Station,"Żwirki i Wigury 16B, 02-092 Warszawa",52.1891307,20.9124078,województwo mazowieckie,02-092,Polska,EU,PL
24,Porsche Destination Charging,"Grzybowska 24, 00-132 Warszawa",52.2365164,20.9264746,województwo mazowieckie,00-132,Polska,EU,PL
25,Stacja ładowania samochodów elektrycznych,"Wołoska 26, 02-675 Warszawa",52.1853689,20.930838,województwo mazowieckie,02-675,Polska,EU,PL
26,GreenWay Charging Station,"Radzymińska 78, 03-752 Warszawa",52.262123,20.9833162,województwo mazowieckie,03-752,Polska,EU,PL
27,Tesla Destination Charger,"Grzybowska 24, 00-132 Warszawa",52.2366693,20.9266437,województwo mazowieckie,00-132,Polska,EU,PL
28,Porsche Destination Charging,"Marii Konopnickiej 7, 00-491 Warszawa",52.2366693,20.9266437,województwo mazowieckie,00-491,Polska,EU,PL
29,E.ON Stacja ładowania,"00-001, Warszawa",52.2366693,20.9266437,Warszawa,województwo mazowieckie,Polska,EU,PL
30,Tesla Destination Charger,"Twarda 4, 00-105 Warszawa",52.2366693,20.9266437,województwo mazowieckie,00-105,Polska,EU,PL
31,Lidl Charging Station,"Żupnicza 15, 03-816 Warszawa",52.2526057,20.9928774,województwo mazowieckie,03-821,Polska,EU,PL
32,Nexity Hotels Charging Station,"Sienna 39, 00-121 Warszawa",52.231882,20.9299882,województwo mazowieckie,00-121,Polska,EU,PL
33,GreenWay Charging Station,72/18 Targowa Warszawa 03-734 PL,52.231882,20.9299882,województwo mazowieckie,03-729,Polska,EU,PL
34,Stacja ładowania samochodów elektrycznych,"rondo Daszyńskiego 2, 00-843 Warszawa",52.231882,20.9299882,województwo mazowieckie,00-843,Polska,EU,PL
35,Stacja ładowania samochodów elektrycznych,"Przyokopowa 33, 01-208 Warszawa",52.231882,20.9299882,województwo mazowieckie,01-208,Polska,EU,PL
36,Elocity Stacja ładowania,"Okopowa 58/72, 01-042 Warszawa",52.2254868,20.9393223,województwo mazowieckie,01-042,Polska,EU,PL
37,GreenWay Stacja ładowania,"Wołoska 22A, 02-675 Warszawa",52.1853564,20.9307758,województwo mazowieckie,02-675,Polska,EU,PL
38,ORLEN Stacja ładowania,"Wersalska 3, 03-955 Warszawa",52.223824,20.9873132,województwo mazowieckie,03-955,Polska,EU,PL
39,VCharge Stacja ładowania,"Wiejska, 00-479 Warszawa",52.2263615,20.9532626,województwo mazowieckie,00-479,Polska,EU,PL
40,ORLEN Stacja ładowania,"al. Prymasa Tysiąclecia 52, 01-242 Warszawa",52.225541,20.8864022,województwo mazowieckie,01-242,Polska,EU,PL
41,Nexity Hotels Charging Station,"rondo Daszyńskiego 2B, 00-843 Warszawa",52.225541,20.8864022,województwo mazowieckie,00-839,Polska,EU,PL
42,ORLEN Stacja ładowania,"Al. Solidarności 100, 01-016 Warszawa",52.225541,20.8864022,województwo mazowieckie,01-016,Polska,EU,PL
43,Punkt ładowania samochodów elektrycznych,"Hoża 63/67, 00-681 Warszawa",52.2246708,20.9351375,województwo mazowieckie,00-681,Polska,EU,PL
44,ORLEN Stacja ładowania,"Ostrobramska 124, 04-026 Warszawa",52.236619,21.0156502,województwo mazowieckie,04-118,Polska,EU,PL
45,EV Plus Charging Station,"Mogilska 53, 31-516 Kraków",50.0646505,19.9346813,województwo małopolskie,31-546,Polska,EU,PL
46,Charge And Drive Charging Station,"Reduta 28, 31-421 Kraków",50.094392,19.9624959,województwo małopolskie,31-421,Polska,EU,PL
47,Porsche Destination Charging,"Powiśle 7, 31-101 Kraków",50.055752,19.9127466,województwo małopolskie,31-101,Polska,EU,PL
48,Tesla Destination Charger,"Pawia 3, 31-154 Kraków",50.0656382,19.9271694,województwo małopolskie,31-154,Polska,EU,PL
