name,address,website,phone_number,latitude,longitude,city,post_code,country,continent,iso_code
GreenWay Charging Station,"Żelazna 51, 00-841 Warszawa",greenwaypolska.pl,58 325 10 77,52.2225146,20.931562,województwo mazowieckie,00-841,Polska,EU,PL
EV Plus Charging Station,"Emilii Plater 53, 00-113 Warszawa",evplus.com.pl,603 303 076,52.2225146,20.931562,województwo mazowieckie,00-113,Polska,EU,PL
EV Plus Charging Station,"Chmielna 73, 00-801 Warszawa",evplus.com.pl,603 303 076,52.2225146,20.931562,województwo mazowieckie,00-801,Polska,EU,PL
Circle K Charging Station,"Połczyńska 30, 01-337 Warszawa",circlek.pl,+47 22 96 24 00,52.2204104,20.8438622,województwo mazowieckie,01-337,Polska,EU,PL
EV Plus Charging Station,"al. Jana Pawła II 27, 00-867 Warszawa",evplus.com.pl,603 303 076,52.2379319,20.9234489,województwo mazowieckie,00-867,Polska,EU,PL
Tesla Destination Charger,"al. Jana Pawła II 21, 00-854 Warszawa",tesla.com,22 450 80 00,52.2379319,20.9234489,województwo mazowieckie,00-854,Polska,EU,PL
EV Plus Charging Station,"Żwirki i Wigury 16B, 02-092 Warszawa",evplus.com.pl,603 303 076,52.1891307,20.9124078,województwo mazowieckie,02-092,Polska,EU,PL
EV Plus Charging Station,"Stanisława Moniuszki 1a, 00-014 Warszawa",evplus.com.pl,603 303 076,52.2349289,20.9402135,województwo mazowieckie,00-014,Polska,EU,PL
GreenWay Charging Station,"Równoległa 2, 02-232 Warszawa",greenwaypolska.pl,58 325 10 77,52.1948976,20.8651851,województwo mazowieckie,02-235,Polska,EU,PL
EV Plus Charging Station,"Prosta 70, 00-838 Warszawa",evplus.com.pl,603 303 076,52.2298929,20.907696,województwo mazowieckie,00-838,Polska,EU,PL
Tesla Supercharger,"Belwederska 23, 00-761 Warszawa",tesla.com,22 307 26 45,52.2078553,20.9574651,województwo mazowieckie,00-761,Polska,EU,PL
innogy Polska Charging Station,"Złota 44, 00-120 Warszawa",innogy.pl,22 821 46 46,52.2078553,20.9574651,województwo mazowieckie,00-120,Polska,EU,PL
Porsche Destination Charging,"plac Marszałka Józefa Piłsudskiego 1, 00-078 Warszawa",porsche.pl,22 449 00 00,52.2421,20.9406722,województwo mazowieckie,00-078,Polska,EU,PL
Stacja ładowania Złote Tarasy – ShareP,"Złota, 00-804 Warszawa",sharep.io,,52.2421,20.9406722,województwo mazowieckie,00-806,Polska,EU,PL
